Konkurs,Scena,Dzień występu,Dzień spontana,Problem,Grupa wiekowa,Liga,Część,Godzina występu,Godzina spontana,Kod drużyny,Numer członkowstwa,Drużyna,Miejscowość
Finał,2,niedziela,sobota,5,2,,2,12:30,13:55,P5G2_245,72437,Publiczna Szkoła Podstawowa nr 1 - Opole,Opole
Finał,2,niedziela,sobota,5,2,,2,12:50,10:40,P5G2_246,36303,Społeczna Szkoła Podstawowa nr 1 S.T.O. - Łódź,Łódź
Finał,2,niedziela,sobota,0,0,,,14:00,12:10,PJGJ_258,44788,Autorska Szkoła Podstawowa NAVIGO - Poznań,Poznań
Finał,2,niedziela,sobota,0,0,,,14:20,9:40,PJGJ_259,38570,Niepubliczna Szkoła Podstawowa AiB - Banino,Banino
Finał,2,niedziela,sobota,0,0,,,14:40,11:50,PJGJ_260,72412,Szkoła Podstawowa nr 6 - Olsztyn,Olsztyn
Finał,2,niedziela,sobota,0,0,,,15:20,14:00,PJGJ_261,44788,Autorska Szkoła Podstawowa NAVIGO - Poznań,Poznań
Finał,2,niedziela,sobota,0,0,,,15:40,10:15,PJGJ_262,36043,Zespół Szkół FILOMATA - Gliwice,Gliwice
Finał,2,niedziela,sobota,0,0,,,16:00,15:15,PJGJ_263,47788,Szkoła Podstawowa im. Jana Pawła II [Ekipa A] - Łochowo,Łochowo
Finał,3,sobota,niedziela,4,2,,,8:40,14:55,P4G2_164,47788,Szkoła Podstawowa im. Jana Pawła II [Ekipa B] - Łochowo,Łochowo
Finał,3,sobota,niedziela,4,2,,,9:00,12:40,P4G2_165,46057,Białostockie Towarzystwo Oświatowe [Ekipa A] - Białystok,Białystok
Finał,3,sobota,niedziela,4,2,,,9:20,15:10,P4G2_166,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,3,sobota,niedziela,4,2,,,9:55,11:20,P4G2_167,34670,Szkoła Podstawowa w Pogórzu - Kosakowo,Kosakowo
Finał,3,sobota,niedziela,4,2,,,10:15,13:55,P4G2_168,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa B] - Lublin,Lublin
Finał,3,sobota,niedziela,4,2,,,10:35,8:50,P4G2_169,38463,Zespół Szkół Społecznych - Kłodzko,Kłodzko
Finał,3,sobota,niedziela,4,2,,,11:20,8:20,P4G2_170,38464,Szkoła Podstawowa SPOŁECZNA DWÓJKA S.T.O. - Poznań,Poznań
Finał,3,sobota,niedziela,4,2,,,11:40,13:10,P4G2_171,46057,Białostockie Towarzystwo Oświatowe [Ekipa B] - Białystok,Białystok
Finał,3,sobota,niedziela,4,2,,,12:00,9:20,P4G2_172,41913,Zespół Szkół S.T.O. - Białystok,Białystok
Finał,3,sobota,niedziela,4,2,,,12:35,14:10,P4G2_173,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa A] - Lublin,Lublin
Finał,3,sobota,niedziela,4,2,,,12:55,8:35,P4G2_174,36303,Społeczna Szkoła Podstawowa nr 1 S.T.O. - Łódź,Łódź
Finał,3,sobota,niedziela,4,2,,,13:15,9:50,P4G2_175,72405,Augustowskie Stowarzyszenie Kulturalno-Społeczne - Augustów,Augustów
Finał,3,sobota,niedziela,4,3,,,14:25,11:55,P4G3_176,27946,V Liceum Ogólnokształcące - Gdańsk,Gdańsk
Finał,3,sobota,niedziela,4,3,,,14:45,13:10,P4G3_177,44796,II Liceum Ogólnokształcące - Tomaszów Mazowiecki,Tomaszów Mazowiecki
Finał,3,sobota,niedziela,4,3,,,15:05,14:10,P4G3_178,47329,Lubelska Szkoła Realna - Lublin,Lublin
Finał,3,sobota,niedziela,4,3,,,15:40,9:25,P4G3_179,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,3,sobota,niedziela,4,3,,,16:00,10:05,P4G3_180,47323,I Liceum Ogólnokształcące - Gdańsk,Gdańsk
Finał,3,sobota,niedziela,4,3,,,16:20,12:15,P4G3_181,36114,Zespół Szkół Elektrycznych - Opole,Opole
Finał,3,sobota,niedziela,4,4,,,16:55,14:50,P4G4_182,72450,Stowarzyszenie INSTYTUT WSPANIAŁOŚCI - Gdańsk,Gdańsk
Finał,3,niedziela,sobota,4,1,,,8:40,12:35,P4G1_147,38559,Szkoła Podstawowa Sióstr Zmartwychwstanek - Wejherowo,Wejherowo
Finał,3,niedziela,sobota,4,1,,,9:00,13:45,P4G1_148,46057,Białostockie Towarzystwo Oświatowe [Ekipa B] - Białystok,Białystok
Finał,3,niedziela,sobota,4,1,,,9:20,11:00,P4G1_149,47786,Salezjańska Szkoła Podstawowa im. św. Dominika Savio - Lubin,Lubin
Finał,3,niedziela,sobota,4,1,,,9:55,15:40,P4G1_150,72412,Szkoła Podstawowa nr 6 - Olsztyn,Olsztyn
Finał,3,niedziela,sobota,4,1,,,10:15,11:55,P4G1_151,46112,Szkoła Podstawowa nr 68 - Kraków,Kraków
Finał,3,niedziela,sobota,4,1,,,10:35,16:55,P4G1_152,44788,Autorska Szkoła Podstawowa NAVIGO - Poznań,Poznań
Finał,3,niedziela,sobota,4,1,,,11:10,12:15,P4G1_153,33675,Autorska Szkoła Podstawowa NAVIGO - Warszawa,Warszawa
Finał,3,niedziela,sobota,4,1,,,11:30,15:20,P4G1_154,44759,Szkoła Podstawowa im. Bolesława Chrobrego - Żórawina,Żórawina
Finał,3,niedziela,sobota,4,1,,,11:50,16:35,P4G1_155,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa B] - Lublin,Lublin
Finał,3,niedziela,sobota,4,1,,,12:35,15:00,P4G1_156,34684,Stowarzyszenie BIAŁORUSKI ZWIĄZEK SOLIDARNOŚCI - Wrocław,Wrocław
Finał,3,niedziela,sobota,4,1,,,12:55,9:45,P4G1_157,47788,Szkoła Podstawowa im. Jana Pawła II [Ekipa A] - Łochowo,Łochowo
Finał,3,niedziela,sobota,4,1,,,13:15,11:20,P4G1_158,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,3,niedziela,sobota,4,1,,,13:50,14:25,P4G1_159,33956,Zespół Szkolno-Przedszkolny TAK - Opole,Opole
Finał,3,niedziela,sobota,4,1,,,14:10,10:05,P4G1_160,40457,Społeczna Szkoła Podstawowa nr 3 S.T.O. - Kraków,Kraków
Finał,3,niedziela,sobota,4,1,,,14:30,10:40,P4G1_161,47099,Szkoła Podstawowa DA VINCI - Poznań,Poznań
Finał,3,niedziela,sobota,4,1,,,15:05,14:05,P4G1_162,46057,Białostockie Towarzystwo Oświatowe [Ekipa A] - Białystok,Białystok
Finał,3,niedziela,sobota,4,1,,,15:25,16:15,P4G1_163,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa A] - Lublin,Lublin
Finał,4,sobota,niedziela,5,1,,,8:20,14:50,P5G1_183,38554,Sopockie Szkoły Autonomiczne - Sopot,Sopot
Finał,4,sobota,niedziela,5,1,,,8:40,13:50,P5G1_184,72439,Szkoła Podstawowa w Kosakowie - Kosakowo,Kosakowo
Finał,4,sobota,niedziela,5,1,,,9:00,12:35,P5G1_185,47333,Niepubliczna Szkoła Podstawowa TUTORI - Poznań,Poznań
Finał,4,sobota,niedziela,5,1,,,9:35,10:30,P5G1_186,72438,Prywatna Szkoła Podstawowa PRYMUS - Kościerzyna,Kościerzyna
Finał,4,sobota,niedziela,5,1,,,9:55,11:30,P5G1_187,33961,Społeczna Szkoła Podstawowa nr 3 DĘBINKA - Poznań,Poznań
Finał,4,sobota,niedziela,5,1,,,10:15,14:05,P5G1_188,44769,Społeczna Szkoła Podstawowa S.T.O. - Kluczbork,Kluczbork
Finał,4,sobota,niedziela,5,1,,,11:00,13:05,P5G1_189,33957,Szkoła Podstawowa nr 3 - Trzebnica,Trzebnica
Finał,4,sobota,niedziela,5,1,,,11:20,13:35,P5G1_190,38436,Zespół Szkół S.T.O. na Bemowie - Warszawa,Warszawa
Finał,4,sobota,niedziela,5,1,,,11:40,15:05,P5G1_191,72401,Publiczna Szkoła Podstawowa nr 52 - Poznań,Poznań
Finał,4,sobota,niedziela,5,1,,,12:15,9:45,P5G1_192,72426,Szkoła Podstawowa nr 29 - Lublin,Lublin
Finał,4,sobota,niedziela,5,1,,,12:35,9:15,P5G1_193,40457,Społeczna Szkoła Podstawowa nr 3 S.T.O. - Kraków,Kraków
Finał,4,sobota,niedziela,5,1,,,12:55,14:35,P5G1_194,44751,Publiczna Szkoła Podstawowa nr 3 - Brzesko,Brzesko
Finał,4,sobota,niedziela,5,1,,,14:05,9:30,P5G1_195,41913,Zespół Szkół S.T.O. - Białystok,Białystok
Finał,4,sobota,niedziela,5,1,,,14:25,10:15,P5G1_196,72448,Centrum Edukacyjno-Językowe TERAZ TY - Aleksandrów Łódzki,Aleksandrów Łódzki
Finał,4,sobota,niedziela,5,1,,,14:45,8:15,P5G1_197,47911,Społeczna Szkoła Podstawowa nr 2 S.T.O. - Warszawa,Warszawa
Finał,4,sobota,niedziela,5,1,,,15:20,8:45,P5G1_198,33675,Autorska Szkoła Podstawowa NAVIGO - Warszawa,Warszawa
Finał,4,sobota,niedziela,5,1,,,15:40,8:30,P5G1_199,36303,Społeczna Szkoła Podstawowa nr 1 S.T.O. - Łódź,Łódź
Finał,4,sobota,niedziela,5,1,,,16:00,12:50,P5G1_200,33956,Zespół Szkolno-Przedszkolny TAK - Opole,Opole
Finał,4,sobota,niedziela,5,1,,,16:35,10:45,P5G1_201,42766,Społeczna Szkoła Podstawowa nr 1 S.T.O. - Szczecin,Szczecin
Finał,4,sobota,niedziela,5,1,,,16:55,11:15,P5G1_202,46114,Prywatna Szkoła Podstawowa KUŹNIA TALENTÓW - Lusówko,Lusówko
Finał,4,niedziela,sobota,5,1,,,8:20,11:45,P5G1_203,46076,Szkoła Podstawowa nr 1 - Rumia,Rumia
Finał,4,niedziela,sobota,5,1,,,8:40,13:00,P5G1_204,40409,Niepubliczna Szkoła Podstawowa SOKRATES - Gdańsk,Gdańsk
Finał,4,niedziela,sobota,5,1,,,9:00,12:30,P5G1_205,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,4,niedziela,sobota,5,1,,,9:40,12:00,P5G1_206,42770,Szkoła Podstawowa Stowarzyszenia Edukacyjnego - Gorzów Wielkopolski,Gorzów Wielkopolski
Finał,4,niedziela,sobota,5,1,,,10:00,14:00,P5G1_207,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa A] - Lublin,Lublin
Finał,4,niedziela,sobota,5,1,,,10:20,12:45,P5G1_208,32815,Podstawowa Szkoła  GEDANENSIS - Gdańsk,Gdańsk
Finał,4,niedziela,sobota,5,1,,,11:00,10:45,P5G1_209,46088,Szkoła Podstawowa nr 357 - Warszawa,Warszawa
Finał,4,niedziela,sobota,5,1,,,11:20,9:45,P5G1_210,36043,Zespół Szkół FILOMATA - Gliwice,Gliwice
Finał,4,niedziela,sobota,5,1,,,11:40,13:45,P5G1_211,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa B] - Lublin,Lublin
Finał,4,niedziela,sobota,5,1,,,12:50,13:30,P5G1_212,44788,Autorska Szkoła Podstawowa NAVIGO - Poznań,Poznań
Finał,4,niedziela,sobota,5,1,,,13:10,9:30,P5G1_213,38559,Szkoła Podstawowa Sióstr Zmartwychwstanek - Wejherowo,Wejherowo
Finał,4,niedziela,sobota,5,1,,,13:30,11:00,P5G1_214,41879,Społeczna Szkoła Podstawowa nr 7 S.T.O. - Kraków,Kraków
Finał,4,niedziela,sobota,5,1,,,14:10,11:30,P5G1_215,46057,Białostockie Towarzystwo Oświatowe [Ekipa B] - Białystok,Białystok
Finał,4,niedziela,sobota,5,1,,,14:30,10:00,P5G1_216,47319,Autorska Szkoła Podstawowa NAVIGO - Wrocław,Wrocław
Finał,4,niedziela,sobota,5,1,,,14:50,10:30,P5G1_217,40408,Szkoła Podstawowa nr 1 - Wasilków,Wasilków
Finał,5,sobota,niedziela,3,1,,1,8:50,10:15,P3G1_078,44765,Zespół Szkolno-Przedszkolny nr 3 - Gdynia,Gdynia
Finał,5,sobota,niedziela,3,1,,1,9:10,11:30,P3G1_079,46089,Niepubliczna Szkoła Podstawowa PIĄTKA - Olsztyn,Olsztyn
Finał,5,sobota,niedziela,3,1,,1,9:30,13:55,P3G1_080,47911,Społeczna Szkoła Podstawowa nr 2 S.T.O. - Warszawa,Warszawa
Finał,5,sobota,niedziela,3,1,,1,10:10,11:10,P3G1_081,72432,Leśna Szkoła Podstawowa - Kielce,Kielce
Finał,5,sobota,niedziela,3,1,,1,10:30,14:15,P3G1_082,72404,Szkoła Podstawowa im. płk Stanisława Dąbka - Sychowo,Sychowo
Finał,5,sobota,niedziela,3,1,,1,10:50,13:00,P3G1_083,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa A] - Lublin,Lublin
Finał,5,sobota,niedziela,3,1,,1,11:30,14:35,P3G1_084,40397,Szkoła Podstawowa nr 267 - Warszawa,Warszawa
Finał,5,sobota,niedziela,3,1,,1,11:50,9:55,P3G1_085,33956,Zespół Szkolno-Przedszkolny TAK - Opole,Opole
Finał,5,sobota,niedziela,3,1,,1,12:10,9:35,P3G1_086,43592,Zespół Szkolno-Przedszkolny nr 16 - Wrocław,Wrocław
Finał,5,sobota,niedziela,3,1,,1,13:20,8:40,P3G1_087,46057,Białostockie Towarzystwo Oświatowe [Ekipa B] - Białystok,Białystok
Finał,5,sobota,niedziela,3,1,,1,13:40,10:50,P3G1_088,47101,Szkoła Podstawowa nr 1 - Głogówek,Głogówek
Finał,5,sobota,niedziela,3,1,,1,14:00,9:00,P3G1_089,47331,Niepubliczna Szkoła Podstawowa 4 PORY ROKU - Ciele,Ciele
Finał,5,sobota,niedziela,3,1,,1,14:40,12:40,P3G1_090,32815,Podstawowa Szkoła  GEDANENSIS - Gdańsk,Gdańsk
Finał,5,sobota,niedziela,3,1,,1,15:00,13:20,P3G1_091,41869,Niepubliczna Szkoła Podstawowa SKRZYDŁA [Ekipa B] - Lublin,Lublin
Finał,5,sobota,niedziela,3,1,,1,15:20,8:20,P3G1_092,44788,Autorska Szkoła Podstawowa NAVIGO - Poznań,Poznań
Finał,5,niedziela,sobota,3,1,,2,8:30,11:55,P3G1_093,47110,Szkoła Podstawowa nr 51 - Wrocław,Wrocław
Finał,5,niedziela,sobota,3,1,,2,8:50,10:00,P3G1_094,47095,Społeczna Szkoła Podstawowa NASZA DOBRA SZKOŁA - Katowice,Katowice
Finał,5,niedziela,sobota,3,1,,2,9:25,11:35,P3G1_095,72436,Szkoła Podstawowa w Szewcach - Wisznia Mała,Wisznia Mała
Finał,5,niedziela,sobota,3,1,,2,9:45,13:45,P3G1_096,46136,Niepubliczna Szkoła Podstawowa BONUM FUTURUM - Tulce,Tulce
Finał,5,niedziela,sobota,3,1,,2,10:05,12:30,P3G1_097,72448,Centrum Edukacyjno-Językowe TERAZ TY - Aleksandrów Łódzki,Aleksandrów Łódzki
Finał,5,niedziela,sobota,3,1,,2,10:45,12:50,P3G1_098,40408,Szkoła Podstawowa nr 1 - Wasilków,Wasilków
Finał,5,niedziela,sobota,3,1,,2,11:05,13:25,P3G1_099,38463,Zespół Szkół Społecznych - Kłodzko,Kłodzko
Finał,5,niedziela,sobota,3,1,,2,11:25,11:15,P3G1_100,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,5,niedziela,sobota,3,1,,2,12:05,10:40,P3G1_101,38554,Sopockie Szkoły Autonomiczne - Sopot,Sopot
Finał,5,niedziela,sobota,3,1,,2,12:25,10:20,P3G1_102,42797,Szkoła Podstawowa w Pręgowie - Kolbudy,Kolbudy
Finał,5,niedziela,sobota,0,0,,,13:35,11:30,PJGJ_264,41850,Poradnia Psychologiczno-Pedagogiczna nr 1 - Gdańsk,Gdańsk
Finał,5,niedziela,sobota,0,0,,,13:55,16:50,PJGJ_265,47331,Niepubliczna Szkoła Podstawowa 4 PORY ROKU - Ciele,Ciele
Finał,5,niedziela,sobota,0,0,,,14:30,16:10,PJGJ_266,32815,Podstawowa Szkoła GEDANENSIS - Gdańsk,Gdańsk
Finał,5,niedziela,sobota,0,0,,,14:50,9:20,PJGJ_267,33675,Autorska Szkoła Podstawowa NAVIGO - Warszawa,Warszawa
Finał,5,niedziela,sobota,0,0,,,15:10,16:30,PJGJ_268,32815,Podstawowa Szkoła GEDANENSIS - Gdańsk,Gdańsk
Finał,5,niedziela,sobota,0,0,,,15:50,14:20,PJGJ_269,72422,Szkoła Podstawowa nr 67 - Gdańsk,Gdańsk
Finał,5,niedziela,sobota,0,0,,,16:10,14:55,PJGJ_270,72434,Zespół Szkolno-Przedszkolny w Strzebielinie - Strzebielino,Strzebielino
Finał,6,sobota,niedziela,3,2,,1,8:40,14:10,P3G2_103,42797,Szkoła Podstawowa w Pręgowie - Kolbudy,Kolbudy
Finał,6,sobota,niedziela,3,2,,1,9:00,12:35,P3G2_104,32815,Podstawowa Szkoła  GEDANENSIS - Gdańsk,Gdańsk
Finał,6,sobota,niedziela,3,2,,1,9:20,10:45,P3G2_105,36339,Zespół Szkolno-Przedszkolny nr 9 - Gdańsk,Gdańsk
Finał,6,sobota,niedziela,3,2,,1,10:00,11:05,P3G2_106,72406,Szkoła Podstawowa im. Bohaterskich Lotników Polskich - Wiązowna,Wiązowna
Finał,6,sobota,niedziela,3,2,,1,10:20,13:15,P3G2_107,72422,Szkoła Podstawowa nr 67 - Gdańsk,Gdańsk
Finał,6,sobota,niedziela,3,2,,1,10:55,14:30,P3G2_108,72437,Publiczna Szkoła Podstawowa nr 1 - Opole,Opole
Finał,6,sobota,niedziela,3,2,,1,11:15,13:50,P3G2_109,46136,Niepubliczna Szkoła Podstawowa BONUM FUTURUM - Tulce,Tulce
Finał,6,sobota,niedziela,3,2,,1,11:35,8:35,P3G2_110,34684,Stowarzyszenie BIAŁORUSKI ZWIĄZEK SOLIDARNOŚCI - Wrocław,Wrocław
Finał,6,sobota,niedziela,3,2,,1,12:15,10:10,P3G2_111,40437,Społeczna Szkoła Podstawowa im. Jerzego Kukuczki - Rybnik,Rybnik
Finał,6,sobota,niedziela,3,2,,1,12:35,9:50,P3G2_112,33956,Zespół Szkolno-Przedszkolny TAK - Opole,Opole
Finał,6,sobota,niedziela,3,2,,1,13:45,14:50,P3G2_113,46113,Społeczna Szkoła Podstawowa im. Rady Europy - Lubin,Lubin
Finał,6,sobota,niedziela,3,2,,1,14:05,11:25,P3G2_114,46076,Szkoła Podstawowa nr 1 - Rumia,Rumia
Finał,6,sobota,niedziela,3,2,,1,14:25,10:10,P3G2_115,47319,Autorska Szkoła Podstawowa NAVIGO - Wrocław,Wrocław
Finał,6,sobota,niedziela,3,2,,1,15:05,9:30,P3G2_116,40408,Szkoła Podstawowa nr 1 - Wasilków,Wasilków
